#tstp   Ax    Ay
424  2.94403e-05  6.88855e-05
425  3.11287e-05  7.48998e-05
426  3.28821e-05  8.14063e-05
427  3.46995e-05  8.84421e-05
428  3.65794e-05  9.60472e-05
429  3.85195e-05  0.000104264
430  4.05171e-05  0.000113139
431  4.25685e-05  0.000122719
432  4.46692e-05  0.000133058
433  4.68138e-05  0.00014421
434  4.89958e-05  0.000156234
435  5.12075e-05  0.000169194
436  5.34398e-05  0.000183155
437  5.56822e-05  0.00019819
438  5.79227e-05  0.000214374
439  6.01475e-05  0.000231788
440  6.23407e-05  0.000250517
441  6.44846e-05  0.000270653
442  6.65587e-05  0.000292292
443  6.85405e-05  0.000315537
444  7.04043e-05  0.000340497
445  7.21216e-05  0.000367286
446  7.36606e-05  0.000396028
447  7.49858e-05  0.000426852
448  7.60579e-05  0.000459895
449  7.68334e-05  0.000495302
450  7.72642e-05  0.000533226
451  7.72973e-05  0.00057383
452  7.68744e-05  0.000617285
453  7.59313e-05  0.000663771
454  7.43977e-05  0.00071348
455  7.21966e-05  0.000766613
456  6.92437e-05  0.000823382
457  6.54471e-05  0.000884011
458  6.07064e-05  0.000948734
459  5.49124e-05  0.0010178
460  4.79462e-05  0.00109147
461  3.96787e-05  0.00117002
462  2.99698e-05  0.00125373
463  1.86677e-05  0.00134291
464  5.60775e-06  0.00143788
465  -9.38778e-06  0.00153896
466  -2.65111e-05  0.00164651
467  -4.59698e-05  0.00176089
468  -6.79875e-05  0.00188248
469  -9.28053e-05  0.00201169
470  -0.000120683  0.00214894
471  -0.000151899  0.00229465
472  -0.000186753  0.00244929
473  -0.000225568  0.00261333
474  -0.000268688  0.00278728
475  -0.000316484  0.00297165
476  -0.000369351  0.00316698
477  -0.000427714  0.00337383
478  -0.000492026  0.00359279
479  -0.000562772  0.00382446
480  -0.000640467  0.00406949
481  -0.000725664  0.00432852
482  -0.000818951  0.00460224
483  -0.000920952  0.00489135
484  -0.00103234  0.00519658
485  -0.00115381  0.00551869
486  -0.00128613  0.00585847
487  -0.00143008  0.00621672
488  -0.00158654  0.00659429
489  -0.00175638  0.00699202
490  -0.00194057  0.00741082
491  -0.00214012  0.00785159
492  -0.00235609  0.00831529
493  -0.00258962  0.00880289
494  -0.00284191  0.00931537
495  -0.00311421  0.00985377
496  -0.00340786  0.0104191
497  -0.00372427  0.0110125
498  -0.00406491  0.0116351
499  -0.00443135  0.0122879
500  -0.00482524  0.0129721
501  -0.00524831  0.0136889
502  -0.00570236  0.0144396
503  -0.00618932  0.0152252
504  -0.00671119  0.016047
505  -0.00727008  0.0169064
506  -0.00786819  0.0178045
507  -0.00850784  0.0187427
508  -0.00919146  0.0197222
509  -0.00992157  0.0207444
510  -0.0107008  0.0218107
511  -0.011532  0.0229223
512  -0.0124181  0.0240805
513  -0.013362  0.0252868
514  -0.0143668  0.0265425
515  -0.015436  0.0278488
516  -0.016573  0.0292073
517  -0.0177812  0.0306191
518  -0.0190644  0.0320856
519  -0.0204265  0.033608
520  -0.0218716  0.0351878
521  -0.0234036  0.036826
522  -0.0250271  0.0385241
523  -0.0267465  0.040283
524  -0.0285664  0.0421041
525  -0.0304916  0.0439883
526  -0.0325272  0.0459368
527  -0.0346783  0.0479506
528  -0.0369502  0.0500306
529  -0.0393484  0.0521777
530  -0.0418786  0.0543927
531  -0.0445467  0.0566763
532  -0.0473588  0.0590292
533  -0.0503209  0.061452
534  -0.0534396  0.0639451
535  -0.0567214  0.0665088
536  -0.0601731  0.0691434
537  -0.0638015  0.071849
538  -0.067614  0.0746256
539  -0.0716177  0.077473
540  -0.0758201  0.080391
541  -0.0802289  0.083379
542  -0.0848519  0.0864365
543  -0.0896971  0.0895626
544  -0.0947727  0.0927565
545  -0.100087  0.0960169
546  -0.105649  0.0993425
547  -0.111466  0.102732
548  -0.117548  0.106183
549  -0.123904  0.109694
550  -0.130542  0.113262
551  -0.137472  0.116886
552  -0.144704  0.120562
553  -0.152246  0.124288
554  -0.160108  0.128059
555  -0.1683  0.131873
556  -0.176832  0.135726
557  -0.185713  0.139614
558  -0.194953  0.143532
559  -0.204563  0.147475
560  -0.214551  0.151438
561  -0.224929  0.155416
562  -0.235706  0.159404
563  -0.246892  0.163394
564  -0.258497  0.167381
565  -0.27053  0.171358
566  -0.283003  0.175318
567  -0.295925  0.179252
568  -0.309305  0.183154
569  -0.323153  0.187014
570  -0.337478  0.190825
571  -0.352291  0.194577
572  -0.367599  0.198261
573  -0.383413  0.201866
574  -0.39974  0.205383
575  -0.41659  0.208801
576  -0.43397  0.212109
577  -0.451889  0.215295
578  -0.470355  0.218349
579  -0.489374  0.221256
580  -0.508954  0.224006
581  -0.529102  0.226585
582  -0.549824  0.228979
583  -0.571125  0.231176
584  -0.593011  0.23316
585  -0.615488  0.234918
586  -0.638559  0.236435
587  -0.662228  0.237696
588  -0.686499  0.238685
589  -0.711374  0.239387
590  -0.736856  0.239786
591  -0.762946  0.239865
592  -0.789645  0.239609
593  -0.816954  0.238999
594  -0.844871  0.238021
595  -0.873396  0.236656
596  -0.902527  0.234886
597  -0.932261  0.232696
598  -0.962594  0.230066
599  -0.993523  0.22698
600  -1.02504  0.223419
601  -1.05714  0.219365
602  -1.08982  0.214802
603  -1.12307  0.20971
604  -1.15688  0.204073
605  -1.19124  0.197872
606  -1.22615  0.19109
607  -1.26158  0.183709
608  -1.29752  0.175711
609  -1.33398  0.167081
610  -1.37092  0.1578
611  -1.40833  0.147852
612  -1.4462  0.137222
613  -1.48451  0.125891
614  -1.52325  0.113846
615  -1.56238  0.101071
616  -1.6019  0.0875514
617  -1.64178  0.0732724
618  -1.682  0.0582207
619  -1.72254  0.042383
620  -1.76336  0.0257469
621  -1.80445  0.00830055
622  -1.84578  -0.00996733
623  -1.88733  -0.0290671
624  -1.92906  -0.0490086
625  -1.97095  -0.0698005
626  -2.01296  -0.091451
627  -2.05507  -0.113967
628  -2.09725  -0.137355
629  -2.13946  -0.161621
630  -2.18167  -0.186767
631  -2.22385  -0.212799
632  -2.26596  -0.239718
633  -2.30797  -0.267525
634  -2.34984  -0.29622
635  -2.39153  -0.325803
636  -2.43302  -0.35627
637  -2.47426  -0.387619
638  -2.51521  -0.419845
639  -2.55584  -0.452942
640  -2.59612  -0.486903
641  -2.63599  -0.521719
642  -2.67542  -0.557381
643  -2.71438  -0.593878
644  -2.75282  -0.631198
645  -2.79071  -0.669327
646  -2.828  -0.70825
647  -2.86466  -0.747951
648  -2.90065  -0.788412
649  -2.93593  -0.829614
650  -2.97046  -0.871538
651  -3.0042  -0.914162
652  -3.03712  -0.957462
653  -3.06917  -1.00142
654  -3.10033  -1.046
655  -3.13055  -1.09118
656  -3.1598  -1.13693
657  -3.18804  -1.18323
658  -3.21524  -1.23004
659  -3.24136  -1.27733
660  -3.26638  -1.32508
661  -3.29025  -1.37323
662  -3.31296  -1.42177
663  -3.33446  -1.47066
664  -3.35474  -1.51985
665  -3.37376  -1.56931
666  -3.39149  -1.619
667  -3.40792  -1.66889
668  -3.42301  -1.71893
669  -3.43675  -1.76908
670  -3.44911  -1.81929
671  -3.46008  -1.86954
672  -3.46963  -1.91976
673  -3.47775  -1.96993
674  -3.48442  -2.01999
675  -3.48963  -2.06991
676  -3.49337  -2.11963
677  -3.49562  -2.16911
678  -3.49639  -2.21831
679  -3.49565  -2.26718
680  -3.49341  -2.31568
681  -3.48966  -2.36376
682  -3.4844  -2.41137
683  -3.47763  -2.45848
684  -3.46936  -2.50502
685  -3.45958  -2.55097
686  -3.44829  -2.59628
687  -3.43552  -2.64089
688  -3.42126  -2.68478
689  -3.40553  -2.72789
690  -3.38833  -2.77019
691  -3.36969  -2.81163
692  -3.34961  -2.85217
693  -3.32812  -2.89177
694  -3.30523  -2.93039
695  -3.28097  -2.968
696  -3.25535  -3.00456
697  -3.22841  -3.04003
698  -3.20016  -3.07437
699  -3.17063  -3.10756
700  -3.13985  -3.13956
701  -3.10785  -3.17034
702  -3.07467  -3.19987
703  -3.04032  -3.22813
704  -3.00486  -3.25507
705  -2.9683  -3.28069
706  -2.9307  -3.30496
707  -2.89208  -3.32785
708  -2.85248  -3.34935
709  -2.81194  -3.36943
710  -2.7705  -3.38807
711  -2.72821  -3.40527
712  -2.6851  -3.42101
713  -2.64121  -3.43527
714  -2.5966  -3.44805
715  -2.55129  -3.45934
716  -2.50535  -3.46913
717  -2.4588  -3.47741
718  -2.4117  -3.48418
719  -2.36408  -3.48944
720  -2.31601  -3.4932
721  -2.26751  -3.49544
722  -2.21864  -3.49618
723  -2.16944  -3.49542
